1.812854	1.818843	1.830776	1.848557	1.872039	1.901019	1.935234	1.974351	2.017965	2.065587	2.116647	2.170487	2.226358	2.283429	2.340793	2.397479	2.452472	2.504733	2.553231	2.596968	2.635014	2.666536	2.690831	2.707344	2.715698	2.715698	2.707344	2.690831	2.666536	2.635014	2.596968	2.553231	2.504733	2.452472	2.397479	2.340793	2.283429	2.226358	2.170487	2.116648	2.065588	2.017965	1.974352	1.935234	1.901020	1.872039	1.848557	1.830776	1.818844	1.812854	
3.620456	3.632500	3.656498	3.692259	3.739495	3.797802	3.866657	3.945400	4.033221	4.129150	4.232043	4.340580	4.453260	4.568412	4.684206	4.798680	4.909781	5.015405	5.113457	5.201910	5.278874	5.342655	5.391819	5.425241	5.442149	5.442149	5.425241	5.391819	5.342655	5.278874	5.201910	5.113457	5.015405	4.909781	4.798680	4.684206	4.568412	4.453261	4.340580	4.232044	4.129150	4.033222	3.945401	3.866658	3.797802	3.739495	3.692260	3.656498	3.632501	3.620456	
5.417559	5.435789	5.472110	5.526248	5.597775	5.686096	5.790436	5.909814	6.043027	6.188623	6.344892	6.509843	6.681215	6.856475	7.032842	7.207327	7.376789	7.538002	7.687747	7.822902	7.940554	8.038087	8.113289	8.164421	8.190291	8.190291	8.164421	8.113288	8.038087	7.940554	7.822902	7.687747	7.538002	7.376789	7.207327	7.032842	6.856475	6.681216	6.509843	6.344892	6.188624	6.043028	5.909815	5.790436	5.686096	5.597775	5.526249	5.472111	5.435789	5.417560	
7.198931	7.223533	7.272562	7.345658	7.442266	7.561615	7.702688	7.864199	8.044562	8.241857	8.453804	8.677748	8.910645	9.149076	9.389268	9.627145	9.858401	10.078608	10.283320	10.468225	10.629281	10.762863	10.865898	10.935974	10.971434	10.971434	10.935974	10.865898	10.762864	10.629281	10.468225	10.283320	10.078608	9.858401	9.627145	9.389268	9.149076	8.910646	8.677749	8.453806	8.241858	8.044564	7.864201	7.702689	7.561615	7.442267	7.345659	7.272563	7.223534	7.198932	
8.959352	8.990572	9.052800	9.145609	9.268326	9.420018	9.599453	9.805059	10.034886	10.286560	10.557246	10.843617	11.141837	11.447564	11.755977	12.061837	12.359579	12.643441	12.907622	13.146469	13.354675	13.527474	13.660819	13.751540	13.797455	13.797455	13.751540	13.660819	13.527474	13.354675	13.146469	12.907622	12.643441	12.359579	12.061837	11.755978	11.447564	11.141838	10.843618	10.557247	10.286562	10.034888	9.805061	9.599454	9.420018	9.268326	9.145609	9.052801	8.990572	8.959352	
10.693616	10.731747	10.807769	10.921193	11.071256	11.256886	11.476659	11.728750	12.010877	12.320236	12.653456	13.006543	13.374858	13.753099	14.135336	14.515065	14.885333	15.238886	15.568382	15.866636	16.126884	16.343037	16.509932	16.623518	16.681017	16.681017	16.623518	16.509932	16.343037	16.126884	15.866637	15.568382	15.238885	14.885333	14.515066	14.135336	13.753100	13.374859	13.006545	12.653458	12.320237	12.010879	11.728753	11.476660	11.256886	11.071257	10.921193	10.807770	10.731748	10.693617	
12.396541	12.441914	12.532401	12.667472	12.846292	13.067685	13.330076	13.631427	13.969164	14.340099	14.740354	15.165290	15.609457	16.066566	16.529499	16.990377	17.440697	17.871508	18.273687	18.638256	18.956734	19.221483	19.426025	19.565289	19.635803	19.635801	19.565289	19.426025	19.221483	18.956734	18.638256	18.273687	17.871508	17.440697	16.990379	16.529499	16.066566	15.609458	15.165292	14.740355	14.340101	13.969167	13.631429	13.330077	13.067685	12.846292	12.667472	12.532402	12.441915	12.396541	
14.062955	14.115931	14.221612	14.379448	14.588569	14.847734	15.155267	15.508972	15.906047	16.342978	16.815430	17.318161	17.844927	18.388424	18.940285	19.491123	20.030680	20.548054	21.032028	21.471491	21.855902	22.175770	22.423050	22.591476	22.676773	22.676771	22.591476	22.423050	22.175772	21.855904	21.471491	21.032030	20.548056	20.030680	19.491123	18.940285	18.388426	17.844929	17.318165	16.815432	16.342978	15.906050	15.508974	15.155268	14.847735	14.588571	14.379449	14.221612	14.115931	14.062955	
15.687703	15.748652	15.870287	16.052061	16.293104	16.592165	16.947531	17.356924	17.817394	18.325184	18.875593	19.462839	20.079927	20.718544	21.369009	22.020294	22.660160	23.275423	23.852365	24.377279	24.837120	25.220129	25.516392	25.718235	25.820465	25.820465	25.718237	25.516392	25.220129	24.837120	24.377281	23.852365	23.275425	22.660160	22.020292	21.369007	20.718544	20.079927	19.462841	18.875595	18.325186	17.817398	17.356926	16.947533	16.592167	16.293106	16.052061	15.870287	15.748652	15.687704	
17.265642	17.334936	17.473278	17.680159	17.954762	18.295881	18.701845	19.170395	19.698532	20.282385	20.916998	21.596167	22.312235	23.055927	23.816221	24.580317	25.333733	26.060598	26.744154	27.367487	27.914413	28.370375	28.723204	28.963598	29.085344	29.085342	28.963598	28.723204	28.370375	27.914413	27.367491	26.744156	26.060600	25.333733	24.580315	23.816219	23.055927	22.312235	21.596167	20.916998	20.282385	19.698536	19.170397	18.701847	18.295883	17.954762	17.680159	17.473278	17.334936	17.265646	
