1.500760,1.500762,1.500764,1.500767,1.500771,1.500775,1.500779,1.500783,1.500785,1.500787,1.500787,1.500785,1.500783,1.500779,1.500775,1.500771,1.500767,1.500764,1.500762,1.500760,
2.991987,2.991989,2.991994,2.992001,2.992009,2.992017,2.992025,2.992032,2.992037,2.992039,2.992039,2.992037,2.992032,2.992025,2.992017,2.992009,2.992001,2.991994,2.991990,2.991987,
4.464240,4.464244,4.464252,4.464262,4.464273,4.464285,4.464297,4.464307,4.464315,4.464319,4.464319,4.464315,4.464307,4.464297,4.464285,4.464273,4.464261,4.464252,4.464244,4.464241,
5.908267,5.908272,5.908281,5.908295,5.908310,5.908327,5.908342,5.908356,5.908366,5.908370,5.908370,5.908365,5.908356,5.908342,5.908327,5.908310,5.908295,5.908281,5.908272,5.908267,
7.315085,7.315092,7.315104,7.315120,7.315139,7.315159,7.315179,7.315196,7.315208,7.315214,7.315214,7.315207,7.315195,7.315179,7.315159,7.315139,7.315120,7.315104,7.315092,7.315086,
8.676066,8.676074,8.676087,8.676107,8.676130,8.676155,8.676178,8.676198,8.676212,8.676220,8.676220,8.676211,8.676197,8.676177,8.676154,8.676130,8.676106,8.676087,8.676074,8.676067,
9.983002,9.983011,9.983027,9.983050,9.983077,9.983105,9.983131,9.983154,9.983170,9.983178,9.983178,9.983169,9.983152,9.983130,9.983103,9.983076,9.983049,9.983027,9.983011,9.983004,
11.228169,11.228179,11.228196,11.228222,11.228252,11.228283,11.228313,11.228338,11.228356,11.228365,11.228366,11.228356,11.228337,11.228312,11.228281,11.228251,11.228222,11.228196,11.228178,11.228169,
12.404369,12.404381,12.404401,12.404428,12.404462,12.404495,12.404528,12.404555,12.404575,12.404586,12.404586,12.404575,12.404554,12.404527,12.404493,12.404459,12.404427,12.404399,12.404379,12.404369,
13.504974,13.504987,13.505009,13.505039,13.505075,13.505113,13.505147,13.505177,13.505198,13.505210,13.505210,13.505198,13.505177,13.505146,13.505111,13.505074,13.505037,13.505008,13.504986,13.504974,
14.523948,14.523960,14.523984,14.524016,14.524055,14.524095,14.524133,14.524164,14.524188,14.524200,14.524199,14.524188,14.524164,14.524132,14.524094,14.524054,14.524015,14.523983,14.523960,14.523949,
15.455854,15.455867,15.455893,15.455927,15.455968,15.456011,15.456051,15.456084,15.456110,15.456122,15.456122,15.456109,15.456084,15.456050,15.456010,15.455967,15.455926,15.455892,15.455868,15.455855,
16.295868,16.295881,16.295908,16.295944,16.295988,16.296032,16.296074,16.296110,16.296137,16.296150,16.296150,16.296137,16.296110,16.296074,16.296032,16.295986,16.295944,16.295908,16.295881,16.295868,
17.039766,17.039782,17.039808,17.039845,17.039888,17.039936,17.039982,17.040018,17.040043,17.040056,17.040056,17.040043,17.040016,17.039980,17.039936,17.039888,17.039843,17.039806,17.039780,17.039766,
17.683908,17.683924,17.683952,17.683990,17.684038,17.684086,17.684134,17.684172,17.684198,17.684214,17.684214,17.684198,17.684170,17.684132,17.684084,17.684036,17.683990,17.683950,17.683924,17.683908,
18.225239,18.225254,18.225285,18.225325,18.225372,18.225422,18.225470,18.225510,18.225538,18.225554,18.225554,18.225536,18.225508,18.225468,18.225420,18.225370,18.225325,18.225285,18.225254,18.225239,
18.661247,18.661263,18.661293,18.661335,18.661383,18.661434,18.661482,18.661524,18.661552,18.661568,18.661570,18.661552,18.661522,18.661482,18.661432,18.661381,18.661333,18.661291,18.661263,18.661245,
18.989954,18.989969,18.990002,18.990042,18.990091,18.990143,18.990192,18.990234,18.990265,18.990280,18.990282,18.990265,18.990234,18.990192,18.990143,18.990089,18.990040,18.990000,18.989969,18.989952,
19.209896,19.209911,19.209944,19.209986,19.210035,19.210087,19.210138,19.210180,19.210211,19.210226,19.210228,19.210211,19.210180,19.210136,19.210087,19.210033,19.209984,19.209940,19.209909,19.209894,
19.320108,19.320126,19.320156,19.320198,19.320248,19.320299,19.320351,19.320393,19.320423,19.320438,19.320440,19.320423,19.320393,19.320349,19.320297,19.320246,19.320196,19.320152,19.320122,19.320107,
